,TRADEDATE,CLOSE
772,2016-04-21,119.17
773,2016-04-22,121.25
774,2016-04-25,120.08
775,2016-04-26,119.7
776,2016-04-27,120.8
777,2016-04-28,124.39
778,2016-04-29,123.55
779,2016-05-04,120.96
780,2016-05-05,120.92
781,2016-05-06,120.64
782,2016-05-10,119.55
783,2016-05-11,123.45
784,2016-05-12,121.2
785,2016-05-13,121.07
786,2016-05-16,122.6
787,2016-05-17,122.71
788,2016-05-18,123.12
789,2016-05-19,120.5
790,2016-05-20,121.9
791,2016-05-23,121.51
792,2016-05-24,123.5
793,2016-05-25,127.87
794,2016-05-26,132.16
795,2016-05-27,133.2
796,2016-05-30,134.45
797,2016-05-31,132.56
798,2016-06-01,131.36
799,2016-06-02,132.3
800,2016-06-03,131.59
801,2016-06-06,133.99
802,2016-06-07,139.97
803,2016-06-08,139.39
804,2016-06-09,139.61
805,2016-06-10,133.5
806,2016-06-14,127.08
807,2016-06-15,129.89
808,2016-06-16,127.1
809,2016-06-17,128.7
810,2016-06-20,132.13
811,2016-06-21,133.39
812,2016-06-22,134.81
813,2016-06-23,138.0
814,2016-06-24,133.4
815,2016-06-27,126.2
816,2016-06-28,129.57
817,2016-06-29,133.88
818,2016-06-30,133.0
819,2016-07-01,133.85
820,2016-07-04,134.6
821,2016-07-05,131.85
822,2016-07-06,129.36
823,2016-07-07,131.8
824,2016-07-08,134.41
825,2016-07-11,137.2
826,2016-07-12,140.4
827,2016-07-13,139.4
828,2016-07-14,140.0
829,2016-07-15,138.12
830,2016-07-18,139.93
831,2016-07-19,139.47
832,2016-07-20,138.57
833,2016-07-21,138.5
834,2016-07-22,137.8
835,2016-07-25,136.0
836,2016-07-26,135.75
837,2016-07-27,136.9
838,2016-07-28,136.85
839,2016-07-29,139.15
840,2016-08-01,138.52
841,2016-08-02,135.06
842,2016-08-03,135.73
843,2016-08-04,137.14
844,2016-08-05,138.69
845,2016-08-08,139.45
846,2016-08-09,139.2
847,2016-08-10,138.3
848,2016-08-11,139.7
849,2016-08-12,139.45
850,2016-08-15,139.5
851,2016-08-16,138.1
852,2016-08-17,138.44
853,2016-08-18,137.0
854,2016-08-19,135.8
855,2016-08-22,137.37
856,2016-08-23,140.35
857,2016-08-24,139.5
858,2016-08-25,142.84
859,2016-08-26,145.25
